District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Southeastern Local,Ross,158.24259414378687,88.6,129508.37729478793,41685.0,2.447308723527324,905
Perrysburg Exempted Village,Wood,158.1678742094722,102.8,235531.9402933504,61959.0,3.23358852341864,5453
Edgerton Local,Williams,157.97291438183314,94.7,191350.17894422906,40750.0,2.342519874826207,489
Arcadia Local,Hancock,157.77066969240295,93.0,214482.29997186005,42029.5,2.492823780042607,564
South Range Local,Mahoning,157.34493426463305,101.9,241307.3843232757,43550.5,2.8440403264271183,1214
Jennings Local,Putnam,157.33435123225462,93.2,221050.96292037945,49296.0,2.3946647817439564,339
Wayne Trace Local,Paulding,156.9645749583714,91.6,195542.98962243323,41774.0,2.369176294283527,857
Fairfield Local,Highland,156.32680608772566,91.6,180526.79359475477,41628.0,2.2157182560729245,874
Maplewood Local,Trumbull,155.6438322653489,100.8,175536.89290354514,39434.0,2.789046266226891,601
Springboro Community City,Warren,155.39337983983367,99.3,331219.5587839656,72168.0,2.8040187050801726,5766
Fairland Local,Lawrence,155.37217357368738,86.6,159588.23600641784,41992.5,2.2019050558508346,1336
Triad Local,Champaign,155.2840854136113,88.2,181603.6478650501,45488.0,2.2347473215994067,759
Lakeview Local,Trumbull,155.02991296009094,98.6,170889.79345175147,41487.5,2.9243794788103994,1465
Holgate Local,Henry,154.47379986003776,90.4,204052.9019750394,42702.0,2.5300364229292973,391
Pike-Delta-York Local,Fulton,154.20467165256528,94.6,172769.24683179724,41038.0,2.5355203555819688,1101
Centerburg Local,Knox,153.66445428087493,93.7,262047.74647887325,50574.0,2.263250512730206,1010
Three Rivers Local,Hamilton,153.25262328375828,89.6,157103.91529180005,53393.0,2.84317050017117,1914
Crestview Local,Columbiana,153.22544689742685,91.3,166918.5827365247,39747.0,2.2907452418873,1111
Brookville Local,Montgomery,153.04128070685945,94.8,201263.10825423527,44712.0,2.812887270076663,1517
